"region","lon","lat"
"MAYAGUEZ","-67.13452778","18.49775"
"SAN JUAN","-66.01135","18.3905"
"BAYAMON","-66.14161","18.39044"
"ARECIBO","-66.77591","18.45667"
"HUMACAO","-65.83097","18.14571"
"SAN JUAN","-66.05489","18.37131"
"PONCE","-66.65441","18.01495"
"HUMACAO","-65.85306","18.361"
"HUMACAO","-65.8542","18.36096"
"MAYAGUEZ","-67.15128","18.16856"
"CAGUAS","-66.02984","17.98387"
"HUMACAO","-66.01105","18.00546"
"PONCE","-66.87475","18.00076"
"HUMACAO","-65.88097","18.42633"
"SAN JUAN","-66.06979","18.44818"
"CAGUAS","-66.15637","18.11716"
"ARECIBO","-66.42994","18.43259"
"ARECIBO","-66.40578","18.43434"
"SAN JUAN","-66.08693","18.41049"
"MAYAGUEZ","-67.1562","18.36856"
"PONCE","-66.56588","18.0651"
"MAYAGUEZ","-67.07776","18.34165"
"CAGUAS","-66.05572","18.20853"
"MAYAGUEZ","-67.15063","18.17657"
"CAGUAS","-66.04161","18.17479"
"CAGUAS","-66.23603","18.21106"
"CAGUAS","-66.19183","18.16227"
"ARECIBO","-66.44577","18.42915"
"BAYAMON","-66.25257","18.29895"
"CAGUAS","-66.05384","18.21915"
"ARECIBO","-66.4774","18.30636"
"MAYAGUEZ","-67.25098","18.33903"
"PONCE","-66.8131","18.06286"
"CAGUAS","-66.10983","18.12626"
"MAYAGUEZ","-67.03143","18.2093"
"CAGUAS","-66.22818","17.9715"
"ARECIBO","-66.73596","18.46298"
"BAYAMON","-66.15804","18.37521"
"HUMACAO","-65.8944","18.0778"
"ARECIBO","-66.25971","18.396"
"ARECIBO","-66.5057","18.31551"
"HUMACAO",,
"MAYAGUEZ","-67.08917","18.17693"
"ARECIBO","-66.49761","18.44914"
"SAN JUAN","-65.93721","18.37334"
"MAYAGUEZ","-67.14307","18.18531"
"PONCE","-66.79254","18.02428"
"BAYAMON","-66.46182","18.23803"
"CAGUAS","-66.00712","18.28076"
"PONCE","-66.50581","18.10698"
"ARECIBO","-66.88233","18.29956"
"MAYAGUEZ","-67.14365","18.20206"
"BAYAMON","-66.18149","18.43506"
"HUMACAO","-65.76057","18.23301"
"CAGUAS","-66.04072","18.23283"
"BAYAMON","-66.17822","18.37352"
"ARECIBO","-66.7275","18.47102"
"CAGUAS","-66.06448","17.97405"
"ARECIBO","-66.87977","18.29666"
"PONCE","-66.72947","18.13412"
"HUMACAO","-65.87097","18.32032"
"PONCE","-66.726671","18.17278"
"BAYAMON","-66.22027","18.29276"
"MAYAGUEZ","-67.15506","18.42658"
"PONCE","-66.61915","17.98619"
"SAN JUAN","-66.07822","18.4073"
"MAYAGUEZ","-67.19133","18.3835"
"ARECIBO","-66.64628","18.42251"
"PONCE","-66.80358","18.29252"
"MAYAGUEZ","-67.11149","18.39137"
"BAYAMON","-66.16943","18.44162"
"SAN JUAN","-66.05612","18.44306"
"SAN JUAN","-66.07799","18.44513"
"ARECIBO","-66.72279","18.46249"
"ARECIBO","-66.56969","18.41666"
"MAYAGUEZ","-67.02635","18.4701"
"BAYAMON","-66.17501","18.38415"
"PONCE","-66.62006","18.01518"
"MAYAGUEZ","-66.97971","18.05665"
"SAN JUAN","-66.10116","18.4659"
"SAN JUAN","-65.99382","18.41606"
"CAGUAS","-66.26427","18.13952"
"BAYAMON","-66.15324","18.37319"
"BAYAMON","-66.35331","18.29035"
"CAGUAS","-66.05255","18.20382"
"SAN JUAN","-66.04791","18.44568"
"PONCE","-66.52824","18.02024"
"SAN JUAN","-65.96031","18.3984"
"ARECIBO","-66.93915","18.46849"
"CAGUAS","-66.10144","18.25266"
"HUMACAO","-65.88726","18.39341"
"PONCE","-66.53709","18.03067"
"PONCE","-66.66255","17.98219"
"BAYAMON","-66.18166","18.44928"
"MAYAGUEZ","-67.14605","18.20849"
"PONCE","-66.6276","18.00595"
"CAGUAS","-66.1176","17.97951"
"PONCE","-66.60934","18.01411"
"CAGUAS","-66.15779","18.11601"
"SAN JUAN","-65.97499","18.41662"
"HUMACAO","-65.64999","18.33322"
"BAYAMON","-66.17361","18.40239"
"BAYAMON","-66.15863","18.3992"
"BAYAMON","-66.15916","18.39262"
"CAGUAS","-66.3012","18.15234"
"CAGUAS","-65.97458","18.25141"
"CAGUAS","-66.0983187","17.972003"
"HUMACAO","-65.94123","18.19121"
"ARECIBO","-66.58004","18.43536"
"HUMACAO","-65.30285","18.30769"
"HUMACAO","-65.84772","18.37509"
"HUMACAO","-65.88929","18.32192"
"SAN JUAN","-65.9843","18.42278"
"PONCE","-66.63215","18.00712"
"CAGUAS","-66.15972","18.17855"
"SAN JUAN","-66.00711","18.34365"
"CAGUAS","-66.28919","18.23878"
"HUMACAO","-65.97249","18.19497"
"SAN JUAN","-66.06066","18.36046"
"MAYAGUEZ","-67.15598","18.42158"
"MAYAGUEZ","-67.15608","18.36971"
"ARECIBO","-66.74012","18.45402"
"SAN JUAN","-66.06436","18.41782"
"ARECIBO","-66.301143","18.432552"
"ARECIBO","-66.27703","18.4293"
"HUMACAO","-65.91448","18.26935"
"CAGUAS","-66.16472222","18.21333333"
"SAN JUAN","-66.03777","18.40167"
"PONCE","-66.7038","18.0516"
"BAYAMON","-66.40863","18.32623"
"ARECIBO","-66.3293","18.41309"
"CAGUAS","-66.17248","18.17556"
"HUMACAO","-65.64796","18.26012"
"MAYAGUEZ","-67.05556","18.03755"
"ARECIBO","-66.55274","18.44712"
"ARECIBO","-66.3027","18.40217"
"CAGUAS","-66.04178","18.25417"
"MAYAGUEZ","-67.13811","18.18227"
"PONCE","-66.9214","17.98848"
"PONCE","-66.84925","18.03195"
"PONCE","-66.40558","17.96018"
"CAGUAS","-66.16219","18.10815"
"HUMACAO","-65.9591","18.45066"
"SAN JUAN","-66.05932","18.44666"
"SAN JUAN","-66.05658","18.42823"
"BAYAMON","-66.32194","18.3403"
"MAYAGUEZ","-66.9736","18.48664"
"BAYAMON","-66.17887","18.38921"
"BAYAMON","-66.21055","18.41632"
"MAYAGUEZ","-66.99874","18.34746"
"BAYAMON","-66.21387","18.40831"
"PONCE","-66.84929","18.03115"
"PONCE","-66.61032","18.02032"
"SAN JUAN","-66.0504","18.43614"
"SAN JUAN","-66.06239","18.42761"
"HUMACAO","-65.8234","18.13949"
"MAYAGUEZ","-67.13317","18.13944"
"HUMACAO","-65.82192","18.14852"
"MAYAGUEZ",,
"CAGUAS","-66.167245","18.116236"
"PONCE",,
"BAYAMON","-66.39342","18.30802"
"MAYAGUEZ","-67.12477","18.27477"
"ARECIBO","-66.30086","18.40334"
"MAYAGUEZ","-67.17206","18.23021"
"MAYAGUEZ","-67.14558","18.50035"
"PONCE","-66.39017","18.00439"
"HUMACAO","-65.73354","18.20984"
"CAGUAS","-66.23112","18.03119"
"PONCE","-66.64664","18.01455"
"ARECIBO","-66.60817","18.45702"
"ARECIBO","-66.80989","18.45603"
"HUMACAO","-65.96422","18.19519"
"PONCE","-66.62938","17.99295"
"MAYAGUEZ","-66.99741","18.24659"
"MAYAGUEZ","-67.14438","18.19839"
"MAYAGUEZ","-66.98916","18.24694"
"ARECIBO","-66.46826","18.38165"
"SAN JUAN","-66.08751","18.39201"
"MAYAGUEZ","-67.15191","18.47935"
"ARECIBO","-66.63999","18.4445"
"SAN JUAN","-66.03383","18.36276"
"BAYAMON","-66.13266","18.39319"
"SAN JUAN","-66.05556","18.43822"
"CAGUAS","-66.34152","18.18951"
"CAGUAS","-66.26427","18.13952"
"PONCE","-66.6187","18.01168"
"BAYAMON","-66.2728","18.28498"
"PONCE","-66.50742","18.05091"
"SAN JUAN","-66.02355","18.40662"
"PONCE","-66.7469","18.08849"
"CAGUAS","-66.02688","18.24914"
"ARECIBO","-66.4838","18.43551"
"CAGUAS","-66.26368","18.00184"
"CAGUAS","-66.178","18.11999"
"ARECIBO","-66.60456","18.40059"
"HUMACAO","-65.79582","18.38203"
"PONCE","-66.70265","18.26566"
"HUMACAO","-65.81325","18.23646"
"ARECIBO","-66.48723","18.42736"
"PONCE","-66.65638","17.98809"
"ARECIBO","-66.5383","18.45177"
"BAYAMON","-66.30778","18.34097"
"HUMACAO","-65.73378","18.21099"
"HUMACAO","-65.85994","18.17793"
"PONCE","-66.36231","18.07785"
"MAYAGUEZ","-66.95375","18.24324"
"BAYAMON","-66.18486","18.4268"
"CAGUAS","-66.09809","17.97575"
"BAYAMON","-66.20119","18.33498"
"PONCE","-66.75156","18.28343"
"BAYAMON","-66.240345","18.298222"
"BAYAMON","-66.19271","18.36872"
"CAGUAS","-66.30211","17.96462"
"SAN JUAN","-65.97385","18.41018"
"MAYAGUEZ","-67.01981","18.50178"
"ARECIBO","-66.53019","18.413"
"BAYAMON","-66.24925","18.29953"
"BAYAMON","-66.12656","18.44143"
"ARECIBO","-66.75383","18.47023"
"PONCE","-66.63483","18.01499"
"PONCE","-66.76916","18.18034"
"PONCE","-66.49311","18.07391"
"PONCE","-66.70568","18.2667"
"BAYAMON","-66.40145","18.32594"
"PONCE","-66.79321","18.02052"
"BAYAMON","-66.24554","18.28085"
"HUMACAO","-65.88178","18.19323"
"CAGUAS","-66.05016","18.29189"
"PONCE","-66.49031","18.12578"
"MAYAGUEZ","-67.14906","18.19709"
"MAYAGUEZ","-66.92166","18.05181"
"PONCE","-66.91445","18.00504"
"SAN JUAN","-66.03578","18.43464"
"HUMACAO","-65.92477","18.2282"
"HUMACAO","-65.65645","18.32381"
"ARECIBO","-66.83036","18.17848"
